valg,parti,kandidat,antal_stemmer,kommune/region,SFU_kandidat,anna_liste
kommunalvalg,A. Socialdemokratiet,Aase Bagger,0,Ishøj Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Aase Pedersen,0,Aarhus Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Abdirashid Sheikh,0,Aarhus Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Abdul Karim Ahmad,0,Ringkøbing-Skjern Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Adeel Akhtar,0,Brøndby Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Adnan Ali Amin,0,Albertslund Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Adnan Y. M. Jedon, Brønderslev",0,Brønderslev Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Ahmed Huseen Dhaqane,374,Rødovre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Akhlaq Ahmad,0,Albertslund Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Aksel Carlsen, Rønninge",8,Kerteminde Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Alaaidin Abdelhafiz,39,Faxe Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Alex Bødiker,0,Haderslev Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Alex Gren,0,Middelfart Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Alex Vejby Nielsen,0,Vejle Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Alexander Baadh, Trørød",0,Rudersdal Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Alexander Gundelack Angelo,0,Hvidovre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Alexander Semga Nyugha,0,Aalborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Ali Yavuz,0,Slagelse Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Alice Rudkjær, Bistrup",0,Rudersdal Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Alice Silkjær,0,Allerød Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Aligo Francis,83,Næstved Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Alina Racila,0,Tønder Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Allan Andersen,0,Tårnby Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Allan Brink Christensen,0,Glostrup Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Allan Buch,0,Middelfart Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Allan Gjersbøl, Grenaa",0,Norddjurs Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Allan Kreutzfeldt, Ølstykke",0,Egedal Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Allan Larsen,0,Glostrup Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Allan Lauenblad, Vejen",0,Vejen Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Allan Mose Jakobsen,0,Lemvig Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Allan Mølgaard Grosbøl, Hedensted",0,Hedensted Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Allan Nielsen,0,Gribskov Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Allan Pertti Frandsen, Herslev",0,Fredericia Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Allan Sjørslev, Kerteminde",15,Kerteminde Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Allan-Ivan Kristensen,0,Tårnby Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Almin Gabela, Sakskøbing",0,Guldborgsund Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Amalie Kallesøe Bergholdt,0,Middelfart Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Amanda Irina Larsen,0,Hvidovre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anders Bertel, Frederiks",2524,Viborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anders Brandt Sørensen,0,Frederikshavn Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anders Bruun Rasmussen, Vestbyen",0,Horsens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anders J. Andersen,0,Vordingborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anders Kjær Kristensen, Vognsild",107,Vesthimmerlands Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anders Liltorp,0,Hvidovre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anders Løvbjerg, Silkeborg",0,Silkeborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anders Olesen, Vipperød",0,Holbæk Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anders Stenumgaard Lind, Grenaa",0,Norddjurs Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anders Vaagan, Vestbyen",0,Horsens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anders Vigild, Gedved",0,Horsens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anders Winnerskjold,0,Aarhus Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Andre Osnes,0,Aalborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Andreas Bech, Køge",0,Køge Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Andreas Boesen, Vestbyen",0,Horsens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Andreas Frimer Linde,0,Lyngby-Taarbæk Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Andreas Green, Nykøbing F.",0,Guldborgsund Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Andreas Keil,0,Københavns Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Andreas Tang-Brock, Ry",0,Skanderborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"André Ellegaard Jensen, Nørager",67,Rebild Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Ane Marie Søborg,0,Ringkøbing-Skjern Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anes Halilovic,0,Lolland Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anette Bæk,77,Hjørring Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anette Hyre-Jensen, Fredericia - Midtbyen",0,Fredericia Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anette Lykke Jensen,67,Nordfyns Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anette Maj Billesbølle, Holte",0,Rudersdal Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anette Pilmark,0,Brøndby Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anette Poulsen,0,Aarhus Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anette Rachlitz,391,Rødovre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anette Sandgreen,0,Vallensbæk Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Ani Maj Andersen, Aabenraa",0,Aabenraa Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anita Brandorff,0,Haderslev Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anita Søholm, Rønde",400,Syddjurs Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anja Al-Erhayem,458,Sorø Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anja Bisp Pedersen,0,Frederikssund Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anja Holtze,0,Ballerup Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anja Kjærhus, Torsted",0,Horsens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anja Reilev,0,Middelfart Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anja Resen,0,Ringsted Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anja Valente,37,Ærø Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anje Holmstad,0,Helsingør Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Ann Britt Frederiksen, Vester Hornum",81,Vesthimmerlands Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Ann Chalotte Johansen,219,Nordfyns Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Ann Rubæk-Nielsen,0,Bornholms Regionskommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Ann-Britt Lærkedahl,0,Lolland Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anna Aubertin, Blenstrup",243,Rebild Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anna Jasmin Hasle Hansen,0,Furesø Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anna Thusgård,0,Aarhus Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anne Bjergvang,0,Slagelse Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anne Catherine Hoxcer Nielsen, Varde",0,Varde Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anne Fabricius,0,Odense Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anne Fredberg,0,Middelfart Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anne Hjortshøj,0,Randers Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anne Jensen,0,Bornholms Regionskommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anne Jørgensen, Lyø",0,Faaborg-Midtfyn Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anne Katrine Olsen,0,Svendborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anne Kyhn, Faaborg",0,Faaborg-Midtfyn Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anne Madsen,1624,Sorø Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anne Marie Wulff Hedenborg, Roskilde",0,Roskilde Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anne Mette Bak, Taastrup",0,Høje-Taastrup Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anne Munch, Rødvig",0,Stevns Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anne Sofie Stjernholm,0,Vejle Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anne Thomas,0,Bornholms Regionskommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anne-Emmanuelle Bertelsen, Vejen",0,Vejen Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anne-Lise Kuhre,0,Frederikssund Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anne-Marie Ejsten,34,Læsø Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anne-Mette Ebensgaard,0,Odense Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anne-Mette Ibsen, Nordby",9,Fanø Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Annette Betak,0,Tårnby Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Annette Dam, Sønderborg",0,Sønderborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Annette Nielsen, Ravnstrup",0,Brønderslev Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Annette Normind Thomsen,0,Glostrup Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Annette Raaschou van der Star,274,Sorø Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Annette Westh,0,Halsnæs Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anni Schmidt Pedersen, Skanderborg",0,Skanderborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Annia Meline Brogaard,0,Slagelse Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Anstina Krogh, Håstrup",0,Faaborg-Midtfyn Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Anton Lykke Jensen,0,Halsnæs Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Arne C. Holm, Birkerød",0,Rudersdal Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Arne Jensen,0,Kalundborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Arne M. Jensen, Brønderslev",0,Brønderslev Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Arne Poulstrup,0,Vejle Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Arulanantharajah Thillainadarasa, Herning",0,Herning Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Arvid Larsen, Vester Såby",0,Lejre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Asbjørn Dalgaard,0,Frederiksberg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Asbjørn Reissmann,0,Københavns Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Asger Andersen, Vegger",557,Vesthimmerlands Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Asger Birk Jensen, Høje Taastrup",0,Høje-Taastrup Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Aslaug Jørgensen,0,Hvidovre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Assia Ingeborg Hybert Zouaoui, Østbyen",0,Horsens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Astrid Ejlersen,0,Svendborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Astrid Søgaard, Kaas",0,Jammerbugt Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Aud Spurkeland Grøne, Grevinge",0,Odsherred Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Augusta Elmeskov, Kisserup",0,Lejre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Awale Mohamed,0,Ishøj Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Azra Hasanbegovic,0,Vejle Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"B. S. Andersen, Borup",0,Køge Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bayram Polat, Humlebæk",75,Fredensborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bayram Yüksel,0,Ishøj Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bella Mortensen, Munkebo",75,Kerteminde Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Benny Melgaard, Hadsund",73,Mariagerfjord Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bent Bugge Herlevsen, Mariager",15,Mariagerfjord Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bent Elling,0,Helsingør Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bent H. Pedersen,0,Frederikshavn Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bent Jørgensen,177,Kolding Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bent Riis, Vestbyen",0,Horsens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bent Vedsted Rønne,0,Haderslev Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bent Wolder Mortensen,0,Lemvig Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bente Blumensaat, Ejby",0,Lejre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bente Hedegaard, Auning",0,Norddjurs Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bente Kristiane Hoel, Nordby",3,Fanø Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Berit Algreen Nilsson,0,Brøndby Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Berit Rousing,0,Aarhus Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Berit Schaldemose, Glamsbjerg",0,Assens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Berit Schilling, Fredericia - Midtbyen",0,Fredericia Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bertel Riber,10,Dragør Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Betina Svinggaard,0,Helsingør Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bettina Bøcker Kjeldsen, Brønderslev",0,Brønderslev Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bettina Jensen,224,Sorø Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bettina Niebuhr Jeppesen, Vejlby Sogn",0,Fredericia Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bettina Ugelvig,0,Furesø Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Birger Filskov, Nr. Nebel",0,Varde Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Birgit Knudsen, Sønderho",4,Fanø Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Birgitte Glifberg,203,Rødovre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Birgitte Grejsen,0,Vejle Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Birgitte Kristine Nielsen, Them",0,Silkeborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Birgitte Munk Grunnet,1966,Kolding Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Birgitte Schwabe,66,Nordfyns Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Birthe Knudsen, Østbirk",0,Horsens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Birthe Nielsen, Hejnsvig",0,Billund Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Birthe Stjernegaard,0,Svendborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Birthe Sønderskov, Nordby",5,Fanø Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bjarke Abel, Greve Landsby",0,Greve Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bjarne Andersen, Fly",19,Viborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bjarne Ego Jørgensen, Ejby",0,Lejre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bjarne Elnegaard,0,Svendborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bjarne Groth Kjær, Karlslunde",0,Greve Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bjarne Henriksen,0,Frederiksberg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bjarne Jensen,0,Aalborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bjarne Laustsen, Støvring",1233,Rebild Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bjarne Malmros,0,Vordingborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bjarne Simonsen, Herrestrup",0,Odsherred Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bjørn Allerelli Andersen, Ulkebøl",0,Sønderborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bjørn Brøndum Pedersen,0,Svendborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bjørn Rasmussen,0,Frederikssund Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bo Bøge Jensen, Asnæs",0,Odsherred Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bo Hansen,0,Svendborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bo Jul Nielsen,0,Gribskov Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bo Morthorst Rasmussen,0,Haderslev Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bo Sander,127,Kolding Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bo Skov Johansen, Sdr. Vissing",0,Horsens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bo Zabel,0,Herlev Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bodil Kornbek,0,Lyngby-Taarbæk Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bodil Pedersen, Mejrup",0,Holstebro Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bodil Staal, Holsted",0,Vejen Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Bodil Thye,0,Tønder Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bonnie Fjord, Midtbyen",0,Esbjerg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Brian Hornbek,156,Næstved Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Brian Kjær,0,Frederikshavn Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Brian Lebæk,86,Nordfyns Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Brian M. Bisgaard, Ferritslev",0,Faaborg-Midtfyn Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Brian Nissen, Filskov",0,Billund Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Brian Roed, Viborg",416,Viborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Brian Schunk,23,Faxe Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Brian Skafsgaard Thinggaard, Snedsted",0,Thisted Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Brian Øllegaard, Stenløse",0,Egedal Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Brit Skovgaard,0,Vordingborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Brita Leth, Assens",0,Assens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Britt Dam,0,Frederiksberg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Britt Jensen,3094,Rødovre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Britt Norre,15,Langeland Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Britt Pedersen, Martofte",65,Kerteminde Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Britta Huntley,0,Slagelse Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Britta Lange, Eskilstrup",0,Guldborgsund Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Burak Ulrik Ulucan, Osted",0,Lejre Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Bøje Holmsgaard Lundtoft, Pandrup",0,Jammerbugt Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Børge Bech,117,Hjørring Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Børge Jørgensen, Vrønding",0,Horsens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Calle Greisholm,0,Gladsaxe Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Camilla Christensen,0,Glostrup Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Camilla Jæger,142,Odder Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Camilla Meyer,1055,Faxe Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Camilla Rønde, Ebeltoft",348,Syddjurs Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Carina Flink,0,Vordingborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Carina Jacobsen,68,Næstved Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Carina Manley Hansen, Hornslet",445,Syddjurs Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Carl-Eric Würtz Pallesen, Grenaa",0,Norddjurs Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Caroline Victoria Christensen,0,Hørsholm Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Carsten Dyrby Høj, Fredericia - Midtby",0,Fredericia Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Carsten Jarner Olsen,0,Nyborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Carsten Kringelum Duus,0,Odense Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Carsten Nielsen, Humlebæk",279,Fredensborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Carsten Rasmussen,7520,Næstved Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Carsten Schultz-Nielsen, Varde",0,Varde Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Carsten Thrane,0,Svendborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Casper Bach Andersen,0,Odense Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Casper Christophersen,6,Faxe Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Casper Dahl Stenfelt, Taastrup",0,Høje-Taastrup Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Casper Harild-Ankersen,0,Frederikssund Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Casper Larsen, Mørkøv",0,Holbæk Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Casper Overgaard,0,Vejle Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Cecilie Haaland,0,Haderslev Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Cecilie Rønn, Bramming",0,Esbjerg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Cecilie Seidelin Petersen, Tommerup St.",0,Assens Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Charlotte Engelbrecht, Adsbøl",0,Sønderborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Charlotte Grau, Guderup",0,Sønderborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Charlotte Holtermann,0,Ballerup Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Charlotte Nielsen, Holbæk",0,Holbæk Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Charlotte Roest,809,Næstved Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Charlotte Sander, Fredensborg",337,Fredensborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Charlotte Soelberg,129,Nordfyns Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Charlotte Strandgaard, Bjedstrup",0,Skanderborg Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Chastine Nygaard Engqvist,0,Tårnby Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Chelina Bagger,143,Hjørring Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Chili Preisler-Andersen, Roskilde",0,Roskilde Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Chirie Laulund-Pedersen,19,Langeland Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Christen Bager, Dronninglund",0,Brønderslev Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,"Christian ""Kedde"" Schulz",0,Haderslev Kommune,Nej,Nej
kommunalvalg,A. Socialdemokratiet,Christian Bach,0,Randers Kommune,Nej,Nej
